x,y,z,tke
2.1292536,1.282912,0.005,0.1398883
2.1085606,1.2824134,0.005,0.14607273
2.1006489,1.2759777,0.005,0.18785763
2.0818253,1.2913784,0.005,0.13262077
2.4961646,0.90321332,0.005,0.21615565
2.4334199,1.1400543,0.005,0.22826192
2.4462941,1.1266252,0.005,0.2250444
2.4625034,1.1122435,0.005,0.22826493
2.4382217,1.1536378,0.005,0.22941232
2.3633821,1.2120622,0.005,0.20677309
2.3827379,1.1961514,0.005,0.22234717
2.4167798,1.1608371,0.005,0.22360855
2.3988574,1.1807042,0.005,0.22631246
2.4533041,1.0790794,0.005,0.19774109
2.442591,1.1015395,0.005,0.19999404
2.4971557,0.96077001,0.005,0.24246871
2.4962747,0.94232196,0.005,0.20210381
2.4738362,0.97833353,0.005,0.24579553
2.4777927,0.94992101,0.005,0.24674873
2.4823263,1.0435592,0.005,0.20723884
2.4822922,1.0091531,0.005,0.20560309
2.4827907,0.98865658,0.005,0.21108229
2.4978139,1.0190473,0.005,0.2004175
2.455138,1.0653672,0.005,0.19755138
2.4961445,1.0224208,0.005,0.20667854
2.4713929,0.93820477,0.005,0.26844007
2.4969904,0.88172144,0.005,0.25257707
2.4756188,0.91117191,0.005,0.26111406
2.482466,0.8832798,0.005,0.28571028
2.1831448,1.2965063,0.005,0.1206346
2.2174783,1.2569805,0.005,0.21265052
2.1903868,1.2773645,0.005,0.17376107
2.2597077,1.260392,0.005,0.18044898
2.2371774,1.2556136,0.005,0.17321086
2.1772108,1.2711644,0.005,0.17685691
2.1376734,1.2738258,0.005,0.18746191
2.3603389,1.21395,0.005,0.21233764
2.3454251,1.1990383,0.005,0.218178
2.3226979,1.207041,0.005,0.22213748
2.30968,1.2025766,0.005,0.2308737
2.3055308,1.2620244,0.005,0.16915864
2.309799,1.2584594,0.005,0.18782821
2.291383,1.2456989,0.005,0.21855819
2.2954018,1.2172884,0.005,0.22411722
2.2450695,1.2302607,0.005,0.22166121
2.2635353,1.2199502,0.005,0.22074263
2.1555383,1.2626399,0.005,0.13086657
2.1000071,1.260718,0.005,0.20988718
2.117914,1.2678005,0.005,0.15346758
2.0996201,1.2975945,0.005,0.12049861
2.0928617,1.2839941,0.005,0.14853193
2.072401,1.2846032,0.005,0.1485471
2.4979937,0.89986968,0.005,0.21656862
2.4189343,1.1385751,0.005,0.230415
2.4433992,1.1140513,0.005,0.22262512
2.4187622,1.1575419,0.005,0.2254349
2.3680174,1.1916366,0.005,0.22074105
2.3544147,1.1878936,0.005,0.22626191
2.394923,1.1659199,0.005,0.22767344
2.4366348,1.0788497,0.005,0.19825821
2.4282889,1.0979959,0.005,0.20259085
2.4981039,0.97890455,0.005,0.20298532
2.4601579,0.97792709,0.005,0.22976799
2.4595838,0.95668107,0.005,0.22048558
2.4753728,1.0312638,0.005,0.20985915
2.4716637,1.0189029,0.005,0.21790688
2.4674461,0.99882954,0.005,0.19489981
2.4452782,1.0607798,0.005,0.20077153
2.4570808,0.93838799,0.005,0.25006056
2.4961221,0.86291981,0.005,0.20099086
2.4698315,0.89931411,0.005,0.27522361
2.4554114,0.91991568,0.005,0.22583699
2.4768956,0.87101185,0.005,0.25265002
2.2159555,1.2403322,0.005,0.22208373
2.1981871,1.2579055,0.005,0.18682271
2.2419932,1.2525305,0.005,0.18716139
2.1751881,1.2420796,0.005,0.22277175
2.176724,1.2559035,0.005,0.21314988
2.1346619,1.2535919,0.005,0.23244525
2.3308256,1.1847686,0.005,0.20594287
2.3275645,1.1865388,0.005,0.20400828
2.3088589,1.1869755,0.005,0.2297838
2.2306445,1.2251108,0.005,0.22790492
2.3056374,1.2589065,0.005,0.18460757
2.2775745,1.2326487,0.005,0.21333674
2.2831986,1.2127793,0.005,0.22155532
2.2487741,1.2071403,0.005,0.20837206
2.2705052,1.2089566,0.005,0.22784084
2.1894436,1.2293819,0.005,0.23055251
2.1551754,1.2592838,0.005,0.17032731
2.06722,1.2726607,0.005,0.19621077
2.1174221,1.2637638,0.005,0.19045825
2.1070697,1.2526801,0.005,0.228763
2.1145108,1.2412277,0.005,0.24205625
2.0849879,1.2564548,0.005,0.21176818
2.0857279,1.2710396,0.005,0.15628722
2.0396435,1.2840589,0.005,0.16554837
2.0597503,1.2981175,0.005,0.11409148
2.0415702,1.2971761,0.005,0.13779482
2.4143064,1.094758,0.005,0.19792707
2.4045031,1.137104,0.005,0.22907518
2.4199438,1.1188086,0.005,0.23372051
2.423455,1.1158944,0.005,0.23017891
2.3733511,1.1717035,0.005,0.22224675
2.3469732,1.1671566,0.005,0.22976598
2.2905867,1.1901913,0.005,0.2224658
2.307142,1.1728023,0.005,0.23998502
2.3905571,1.1520358,0.005,0.22725679
2.4332378,1.0808283,0.005,0.20156133
2.4639471,0.99742693,0.005,0.20830379
2.4449494,0.98322654,0.005,0.24475805
